Saab AB,Storgatan 23,34567,Karlstad,Pelle Jansson,0776-232323,100-200,NA,info@saab.xxx
Volvo AB,Lillgatan 34,23456,Karlstad,Åsa Andersson,054-1818282,300-500,NA,info@volvo.xxx
Nikita Hair,Hagen 34,23458,Karlstad,Karl P Dahl Andersson,010-1818282,10,Google,pdahl@nikita.se
Art Uppsala,Västra vägen 34,13456,Uppsala,Mirjam Woo,081-4368282,1-10,NA,mirjam.woo@telia.se
Blond,Centrumringen 34,23422,Uppsala,Lisa Minelli,075-1818282,7,NA,info@blond.se
Rufs och Kalufs,Tegnergatan 34,13456,Stockholm,Rufus Larsson,08-231818282,300-500,Yahoo,rufusaurus@gmail.com
Klipp It,Västra Storgatan 34,12456,Stockolm,Muhammed Demirbag,08-183899282,3-5,NA,info@klippit.se
Frisörstugan Västerås,Kungstångsgatan 34,33456,Västerås,Åsa Andersson,011-4318282,3,Google,miss_andersson@epost.se
Brukets Skidbacke,Brukets Skidanläggning,13456,Järfälla,Stig Strand,08-1228282,10-50,Google,info@bruket.se
Fritidscenter,Vasaplatsen 34,13444,Stockholm,Peter Pan,08-5808282,10-50,NA,peterthepan@gmail.com
